University,Location
Lviv Polytechnic National University,Ukraine
Nicolaus Copernicus University,"Toru??, Poland"
Novosibirsk State Technical University,"Novosibirsk, Russia"
Ohio University,"Athens, United States"
Universitas Padjadjaran,"Bandung, Indonesia"
Perm State National Research University,"Perm, Russia"
Pontificia Universidad Cat??lica de Valpara??so,"Valpara??so, Chile"
Pontificia Universidad Cat??lica del Ecuador (PUCE),"Quito, Ecuador"
Pontifcia Universidade Catlica de So Paulo,"S??o Paulo, Brazil"
Pozna?? University of Technology,Poland
Prince of Songkla University,"Hat Yai, Thailand"
Princess Nourah bint Abdulrahman University,
Princess Sumaya University for Technology,"Amman, Jordan"
"Queen Margaret University , Edinburgh","Musselburgh, United Kingdom"
Rhodes University,"Grahamstown, South Africa"
Riga Stradins University,"Riga, Latvia"
Ritsumeikan University,"Kyoto, Japan"
Ryerson University,"Toronto, Canada"
Saitama University,"Saitama City, Japan"
San Diego State University,"San Diego , United States"
Shanghai International Studies University,"Shanghai, China"
Sheffield Hallam University,
Shinshu University,"Matsumoto City, Japan"
Shiraz University,"Shiraz, Iran"
Silesian University of Technology,"Gliwice, Poland"
Slovak University of Technology in Bratislava,"Bratislava, Slovakia"
Sophia University,"Tokyo, Japan"
South Ural State University (National Research University),"Chelyabinsk, Russia"
Szent Istvan University,"Budapest, Hungary"
Tallinn University,"Tallinn, Estonia"
Technical University of Kosice,"Ko??ice, Slovakia"
TU Dortmund University,"Dortmund, Germany"
Technological University Dublin,"Dublin, Ireland"
Tecnol??gico de Costa Rica -TEC,"Cartago, Costa Rica"
Texas Tech University,"Lubbock, United States"
Robert Gordon University,"Aberdeen, United Kingdom"
Russian Presidential Academy of National Economy and Public Administration,"Moscow, Russia"
Tokai University,"Hiratsuka City, Japan"
Universidad Austral de Chile,"Valdivia, Chile"
Universidad Autonoma Chapingo,"Texcoco, Mexico"
Universidad Aut??noma del Estado de M??xico (UAEMex),"Toluca de Lerdo, Mexico"
Universidad Aut??noma Metropolitana (UAM),"Mexico City, Mexico"
Universidad Cat??lica Andres Bello,"Caracas City, Venezuela"
Universidad Cat??lica del Uruguay (UCU),"Montevideo, Uruguay"
University of Alicante,"Alicante, Spain"
Universidad de la Rep??blica (Udelar),"Montevideo, Uruguay"
Universidad de las Am??ricas Puebla (UDLAP),"Cholula, Mexico"
Universidad de los Andes - Chile,"Santiago, Chile"
Universidad de Los Andes - (ULA) M??rida,"Merida, Venezuela"
University of Murcia,"Murcia, Spain"
Universidad de Oviedo,"Oviedo, Spain"
Universidad del Valle,"Cali, Colombia"
Universidad Diego Portales (UDP),"Santiago, Chile"
Universidad EAFIT,"Medellin, Colombia"
Universidad Nacional Costa Rica,"Heredia, Costa Rica"
Universidad Nacional de C??rdoba - UNC,"C??rdoba, Argentina"
Universidad Nacional de Rosario (UNR),"Rosario, Argentina"
Universidad Nacional de San Luis,"San Luis , Argentina"
Universidad Nacional Mayor de San Marcos,"Lima, Peru"
Universidad Sim??n Bol??var (USB),"Caracas, Venezuela"
Universidad T??cnica Federico Santa Mar??a (USM),"Valpara??so, Chile"
Universidad Tecnol??gica de Panam?? (UTP),"Panama City, Panama"
Universidad Tecnol??gica Nacional (UTN),"Buenos Aires, Argentina"
Universidade Cat??lica Portuguesa - UCP,"Lisbon, Portugal"
Universidade da Coru??a,"A Coru??a, Spain"
Universidade de Bras??lia,"Bras??lia, Brazil"
Universidade Federal de Santa Catarina,"Florian??polis, Brazil"
Universidade Federal de S??o Carlos (UFSCar),"S??o Paulo, Brazil"
Universidade Federal do Paran?? - UFPR,"Curitiba, Brazil"
Universidade Federal de Pernambuco (UFPE),"Recife, Brazil"
Catania University,"Catania, Italy"
Universita' degli Studi di Ferrara,"Ferrara, Italy"
University of Salerno,"Fisciano, Italy"
Universit?? degli Studi di Udine,"Udine, Italy"
Universit?? degli studi Roma Tre,"Rome, Italy"
University of Calabria,"Rende, Italy"
Universita' Politecnica delle Marche,"Ancona, Italy"
University of Palermo,"Palermo, Italy"
Bielefeld University,"Bielefeld, Germany"
Universit??t Potsdam,"Potsdam, Germany"
Universit?? de Lorraine,"Nancy, France"
Universit?? de Nantes,"Nantes, France"
Universit?? de Rennes 1,"Rennes, France"
Universit?? de Versailles Saint-Quentin-en-Yvelines (UVSQ),"Versailles, France"
Paul Val??ry University Montpellier,"Montpellier, France"
Universit?? Toulouse 1 Capitole,"Toulouse, France"
Universiti Malaysia Sarawak (UNIMAS),"Kuching, Malaysia"
Universiti Tunku Abdul Rahman (UTAR),"Sungai Long, Malaysia"
Universiti Malaysia Perlis,"Kangar, Malaysia"
The University of Alabama,"Tuscaloosa, United States"
University of Baghdad,"Baghdad, Iraq"
University of Bahrain,"Zallaq, Bahrain"
University of Bari,"Bari, Italy"
University of Brighton,
University of Bucharest,"Bucharest, Romania"
University of Calcutta,"Kolkata, India"
University of Central Lancashire,"Preston, United Kingdom"
University of Crete,"Heraklion, Greece"
University of Dhaka,"Dhaka, Bangladesh"
University of East London,"London, United Kingdom"
University of Engineering & Technology (UET) Lahore,"Lahore, Pakistan"
UNIVERSITY OF GDANSK,"Gda??sk, Poland"
University of Hertfordshire,"Hatfield, United Kingdom"
University of Kufa,"Kufa, Iraq"
University of Kwazulu-Natal,"Pinetown, South Africa"
University of Latvia,"Riga, Latvia"
University of Lincoln,"Lincoln, United Kingdom"
University of Lodz,"Lodz, Poland"
Universiti Malaysia Sabah (UMS),"Kota Kinabalu, Malaysia"
University of Malta,"Msida, Malta"
University of Maribor,"Maribor, Slovenia"
University of Miskolc,"Miskolc, Hungary"
University of Mississippi,"Oxford, United States"
University of New England Australia,"Armidale, Australia"
University of New Hampshire,"Durham, United States"
University of Pardubice,"Pardubice, Czechia"
University of Parma,"Parma, Italy"
University of Rijeka,Croatia
University of Salford,"Salford, United Kingdom"
University of San Diego,"San Diego, United States"
University of Santo Tomas,"Manila, Philippines"
University of the Pacific,"Stockton, United States"
University of the Punjab,"Lahore, Pakistan"
University of the West of England,"Bristol, United Kingdom"
University of Wroclaw,"Wroclaw, Poland"
University of Wyoming,"Laramie, United States"
University of Zagreb,"Zagreb, Croatia"
Utah State University,"Logan, United States"
Verona University,"Verona, Italy"
Viet Nam National University Ho Chi Minh City (VNU-HCM),"Ho Chi Minh City, Vietnam"
"Vietnam National University, Hanoi","Hanoi, Vietnam"
Vytautas Magnus University,"Kaunas, Lithuania"
Wroclaw University of Science and Technology (WRUST),"Wroclaw , Poland"
Wuhan University of Technology,"Wuhan, China"
Xi'an Jiaotong Liverpool University,"Suzhou, China"
Yamaguchi University,"Yamaguchi City, Japan"
Yeungnam University,"Gyeongsan, South Korea"
Yokohama National University,"Yokohama City, Japan"
Al-Azhar University,"Cairo, Egypt"
Alexandru Ioan Cuza University,"Ia??i, Romania"
Amity University,"Noida, India"
An-Najah National University,"Nablus, Palestinian Territories"
Aoyama Gakuin University,"Tokyo, Japan"
Assiut University,"Asyut, Egypt"
Azerbaijan State University of Economics,"Baku, Azerbaijan"
Baku State University,"Baku, Azerbaijan"
Belarusian State University of Informatics and Radioelectronics,"Minsk, Belarus"
Benemerita Universidad Autonoma de Puebla,"Puebla, Mexico"
"Birla Institute of Technology and Science, Pilani","Pilani, India"
Birzeit university,"Birzeit, Palestinian Territories"
Brigham Young University,"Provo, United States"
Canterbury Christ Church University,"Bexleyheath, United Kingdom"
Chung Yuan Christian University,"Taoyuan City, Taiwan"
Damascus University,"Damascus, Syria"
Diponegoro University,"Semarang, Indonesia"
Dokuz Eyl??l ??niversitesi,"Izmir, Turkey"
Doshisha University,"Kyoto, Japan"
Karaganda Buketov University,"Karaganda, Kazakhstan"
EGE UNIVERSITY,"??zmir, Turkey"
Escuela Superior Polit??cnica del Litoral (ESPOL),"Guayaquil, Ecuador"
Feng Chia University,"Taichung City, Taiwan"
Fu Jen Catholic University,"New Taipei City, Taiwan"
Gazi ??niversitesi,"Ankara, Turkey"
German University in Cairo,"Cairo, Egypt"
Hanoi University of Science and Technology,"Hanoi, Vietnam"
Helwan University,"Helwan, Egypt"
Izmir Institute of Technology (IZTECH),"Izmir, Turkey"
Jamia Hamdard,"New Delhi, India"
King Mongkut's Institute of Technology Ladkrabang,"Bangkok, Thailand"
Leeds Beckett University,"Leeds, United Kingdom"
Makerere University,"Kampala, Uganda"
Mansoura University,"Mansoura , Egypt"
Marquette University,"Milwaukee, United States"
Meiji University,"Tokyo, Japan"
Miami University,"Oxford, United States"
Mustansiriyah University,"Baghdad, Iraq"
National Dong Hwa University,"Hualien City, Taiwan"
National Taiwan Ocean University,"Keelung City, Taiwan"
National University of Kyiv-Mohyla Academy (NaUKMA),
North-West University,"Potchefstroom, South Africa"
Northern Arizona University,"Flagstaff, United States"
Panjab University,"Chandigarh, India"
S. Toraighyrov Pavlodar State University,"Pavlodar, Kazakhstan"
Pontif??cia Universidade Cat??lica do Rio Grande do Sul (PUCRS),"Porto Alegre, Brazil"
Rikkyo University,"Tokyo, Japan"
Russian State University for the Humanities,"Moscow, Russia"
Saken Seifullin Kazakh Agrotechnical University,"Nur-Sultan, Kazakhstan"
Seoul National University of Science and Technology,"Seoul, South Korea"
Shahid Beheshti University (SBU),"Tehran, Iran"
"Siberian Federal University, SibFU","Krasnoyarsk, Russia"
Saint-Petersburg Mining University,"St. Petersburg, Russia"
Suranaree University of Technology,"Nakhon Ratchasima , Thailand"
Tamkang University,"New Taipei City, Taiwan"
Technical University of Cluj-Napoca,Romania
VSB - Technical University of Ostrava,"Ostrava, Czechia"
Thapar Institute of Engineering & Technology,"Patiala, India"
"The ""Gheorghe Asachi"" Technical University of Iasi","Ia??i, Romania"
The Hashemite University,"Zarqa, Jordan"
Ton Duc Thang University,"Ho Chi Minh City, Vietnam"
Tunghai University,"Taichung City, Taiwan"
Universidad Andr??s Bello,"Santiago, Chile"
Universidad Aut??noma de Baja California,"Baja California, Mexico"
Universidad Aut??noma de Chile,Chile
Universidad Aut??noma de Nuevo Le??n,"San Nicol??s de los Garza, Mexico"
Universidad Aut??noma de Quer??taro (UAQ),"Quer??taro, Mexico"
Universidad Aut??noma de San Luis de Potos??,"San Luis Potos??, Mexico"
Universidad Autonoma de Yucatan,"M??rida, Mexico"
Universidad Aut??noma del Estado de Morelos (UAEM),"Cuernavaca, Mexico"
"Universidad Cat??lica Boliviana ""San Pablo""","La Paz, Bolivia"
Universidad Cat??lica de Colombia,"Bogot??, Colombia"
Universidad Catolica de Cordoba,"C??rdoba, Argentina"
Universidad Cat??lica del Norte,"Antofagasta, Chile"
Universidad Central del Ecuador,"Quito, Ecuador"
Universidad de Castilla-La Mancha,"Ciudad Real, Spain"
Universidad de Guanajuato,"Guanajuato, Mexico"
Universidad de La Frontera (UFRO),"Temuco, Chile"
Universidad de La Salle,"Bogot??, Colombia"
Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Polit??cnica del Ej??rcito),"Sangolqu??, Ecuador"
Universidad de Lima,"Lima, Peru"
Universidad de Medell??n,"Medellin, Colombia"
Universidad de Monterrey (UDEM),"San Pedro Garza Garc??a, Mexico"
Universidad de Panam?? - UP,"Panama City, Panama"
Universidad de Puerto Rico,"San Juan, Puerto Rico"
Universidad de Sonora,"Hermosillo, Mexico"
Universidad de Talca,"Talca, Chile"
Universidad de Valpara??so (UV),"Valpara??so, Chile"
Universidad del B??o-B??o,"Concepci??n, Chile"
Universidad del Desarrollo (UDD),"Santiago, Chile"
Universidad del Norte,"Barranquilla, Colombia"
Universidad del Pac??fico,"Jes??s Mar??a, Peru"
Universidad Industrial de Santander - UIS,"Bucaramanga, Colombia"
Universidad Mayor de San Andr??s (UMSA),"La Paz, Bolivia"
Universidad Metropolitana,"Caracas, Venezuela"
Universidad Nacional Agraria la Molina,"Lima, Peru"
Universidad Nacional de la Asunci??n,"San Lorenzo, Paraguay"
Universidad Nacional de Cuyo,"Mendoza, Argentina"
Universidad Nacional de Mar del Plata,"Mar del Plata, Argentina"
Universidad Nacional de Quilmes,"Bernal, Argentina"
Universidad Nacional de San Mart??n (UNSAM),"Buenos Aires, Argentina"
Universidad Nacional de Tucum????n,"San Miguel de Tucum??n, Argentina"
Universidad Nacional del Litoral,"Santa Fe, Argentina"
Universidad Nacional del Sur,"Bahia Blanca, Argentina"
Universidad Peruana de Ciencias Aplicadas,"Monterrico, Peru"
Universidad Rey Juan Carlos,"M??stoles, Spain"
Universidade de Vigo,
Universidade do Estado do Rio de Janeiro (UERJ),"Rio de Janeiro, Brazil"
Universidade Estadual de Londrina,"Londrina, Brazil"
Universidade Federal da Bahia,"Salvador, Brazil"
Universidade Federal de Santa Maria,"Santa Maria, Brazil"
Universidade Federal de Vi??osa (UFV),"Vi??osa, Brazil"
Universidade Federal do Cear?? (UFC),"Fortaleza, Brazil"
Universidade Federal Fluminense,"Rio de Janeiro, Brazil"
Universitas Muhammadiyah Surakarta,"Surakarta, Indonesia"
Universit??t Siegen,"Siegen, Germany"
Universit?? de Caen Normandie,"Caen, France"
Universit?? de Poitiers,"Poitiers, France"
Universit?? Jean Moulin Lyon 3,"Lyon, France"
Universit?? Lumi??re Lyon 2,"Lyon, France"
Universit?? Mohammed V de Rabat,"Rabat, Morocco"
Universit?? Paris-Nanterre,"Paris, France"
Universiti Malaysia Terengganu (UMT),"Kuala Terengganu, Malaysia"
Universit?? degli studi di Bergamo,"Bergamo, Italy"
"University of Agriculture, Faisalabad","Faisalabad, Pakistan"
University of Arkansas Fayetteville,"Fayetteville, United States"
University of Babylon,"Hillah, Iraq"
University of Basrah,"Basrah, Iraq"
University of Belgrade,"Belgrade, Serbia"
Universitas Brawijaya,"Malang , Indonesia"
University of Colombo,"Colombo, ?Sri Lanka"
University of Ghana,"Legon, Ghana"
University of Karachi,"Karachi, Pakistan"
The University of Lahore,"Lahore, Pakistan"
University of Montana Missoula,"Missoula , United States"
University of Mumbai,"Mumbai, India"
University of Nairobi,"Nairobi, Kenya"
University of Ni??,Serbia
University of Novi Sad,"Novi Sad, Serbia"
University of Ostrava,"Ostrava, Czechia"
University of Peradeniya,"Peradeniya, Sri Lanka"
University of San Francisco,"San Francisco, United States"
University of Sarajevo,"Sarajevo, Bosnia & Herzegovina"
University of Silesia in Katowice,"Katowice, Poland"
University of Split,"Split, Croatia"
University of the Western Cape,"Cape Town, South Africa"
University of West Bohemia,"Plzen, Czechia"
University POLITEHNICA of Bucharest,"Bucharest, Romania"
Universit?? de Toulouse II-Le Mirail,"Toulouse, France"
Vellore Institute of Technology (VIT),"Vellore, India"
Voronezh State University,"Voronezh , Russia"
